bundle,asset_name,kind,size,raw_offset,file
binary,gamesys.lingshou.lingshoumodel_jingjie,lua,7597,2785040,binary\gamesys.lingshou.lingshoumodel_jingjie.lua
binary,gui.windows.tips.child.tipschildequiptuijianattr,lua,2983,2792688,binary\gui.windows.tips.child.tipschildequiptuijianattr.lua
binary,gui.windows.shanghang.uigupiaorongyuwin,lua,7477,2795728,binary\gui.windows.shanghang.uigupiaorongyuwin.lua
binary,gui.windows.newbie.child.uinewbiechildfinger,lua,596,2803256,binary\gui.windows.newbie.child.uinewbiechildfinger.lua
binary,gui.windows.xianzhan.uixianzhannotewin,lua,2141,2803904,binary\gui.windows.xianzhan.uixianzhannotewin.lua
binary,gamesys.xianjie.hud2.xjentityhud2_biaoji,lua,1898,2806096,binary\gamesys.xianjie.hud2.xjentityhud2_biaoji.lua
binary,gamesys.worldsystem.worldcontroller_switchscene,lua,10050,2808048,binary\gamesys.worldsystem.worldcontroller_switchscene.lua
binary,gamesys.fightsystem.battle.behavior.commom.fbttargettoeffectnode,lua,1587,2818160,binary\gamesys.fightsystem.battle.behavior.commom.fbttargettoeffectnode.lua
binary,gamesys.jiuyoutasystem.__init,lua,120,2819824,binary\gamesys.jiuyoutasystem.__init.lua
binary,gamesys.chatsystem.helper.chatlinkhelper,lua,22974,2819984,binary\gamesys.chatsystem.helper.chatlinkhelper.lua
binary,gamestate.login.loginconfig,lua,3696,2843008,binary\gamestate.login.loginconfig.lua
binary,gamesys.poetryarenasystem.poetryarenacontroller_entity,lua,8042,2846744,binary\gamesys.poetryarenasystem.poetryarenacontroller_entity.lua
binary,gamesys.miniganmesystem.minigamecontroller,lua,4854,2854856,binary\gamesys.miniganmesystem.minigamecontroller.lua
binary,gui.windows.mingyuanzhusha.uitouzimyzs_txzrewardswin,lua,14923,2859768,binary\gui.windows.mingyuanzhusha.uitouzimyzs_txzrewardswin.lua
binary,gamesys.airminigame.entity.trap,lua,3010,2874752,binary\gamesys.airminigame.entity.trap.lua
binary,gamesys.fullscreen.uifulllingzhenhuihuacontrol,lua,1681,2877808,binary\gamesys.fullscreen.uifulllingzhenhuihuacontrol.lua
binary,gamesys.hongchenjiesystem.hongchenjiecontroller,lua,7503,2879552,binary\gamesys.hongchenjiesystem.hongchenjiecontroller.lua
