protocel_key,func_id,in_protocol,in_lua,lua_files
2,6,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,7,table_B,Y,gamesys.systemzongmen.systemzongmencontroller_protocol.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,8,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,9,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,10,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,11,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,12,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,13,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller_update.lua
2,14,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,15,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,17,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,18,table_B,N,
2,19,table_B,N,
2,20,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,21,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,22,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,23,table_B,N,
2,24,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,25,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,26,table_B,N,
2,27,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,31,table_B,N,
2,32,table_B,N,
2,33,table_B,N,
2,34,table_B,N,
2,35,table_B,N,
2,41,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,42,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,45,table_B,N,
2,46,table_B,N,
2,47,table_B,N,
2,48,table_B,N,
2,49,table_B,N,
2,50,table_B,N,
2,51,table_B,N,
2,52,table_B,N,
2,53,table_B,N,
2,54,table_B,N,
2,55,table_B,N,
2,56,table_B,N,
2,57,table_B,N,
2,58,table_B,N,
2,59,table_B,N,
2,60,table_B,N,
2,61,table_B,N,
2,62,table_B,N,
2,63,table_B,N,
2,64,table_B,N,
2,69,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,70,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,71,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,72,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,76,table_B,Y,gui.windows.disciple.uidisciplecontroller_tianming.lua;gui.windows.disciple.uidisciplecontroller_tianming.lua
2,77,table_B,Y,gui.windows.disciple.uidisciplecontroller_tianming.lua;gui.windows.disciple.uidisciplecontroller_tianming.lua
2,80,table_B,N,
2,81,table_B,Y,gui.windows.disciple.uidisciplecontroller_tianming.lua;gui.windows.disciple.uidisciplecontroller_tianming.lua
2,82,table_B,Y,gui.windows.disciple.uidisciplecontroller_tianming.lua;gui.windows.disciple.uidisciplecontroller_tianming.lua
2,83,table_B,Y,gui.windows.disciple.uidisciplecontroller_tianming.lua;gui.windows.disciple.uidisciplecontroller_tianming.lua
2,84,table_B,N,
2,85,table_B,N,
2,86,table_B,Y,gui.windows.disciple.uidisciplecontroller_qizhen.lua;gui.windows.disciple.uidisciplecontroller_qizhen.lua
2,87,table_B,Y,gui.windows.disciple.uidisciplecontroller_qizhen.lua;gui.windows.disciple.uidisciplecontroller_qizhen.lua
2,88,table_B,Y,gui.windows.disciple.uidisciplecontroller_cuiti.lua;gui.windows.disciple.uidisciplecontroller_cuiti.lua
2,89,table_B,Y,gui.windows.disciple.uidisciplecontroller_cuiti.lua;gui.windows.disciple.uidisciplecontroller_cuiti.lua
2,91,table_B,N,
2,92,table_B,N,
2,93,table_B,N,
2,94,table_B,N,
2,95,table_B,N,
2,96,table_B,N,
2,97,table_B,N,
2,98,table_B,N,
2,99,table_B,N,
2,100,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,101,table_B,N,
2,102,table_B,N,
2,103,table_B,N,
2,104,table_B,N,
2,105,table_B,N,
2,106,table_B,Y,gui.windows.disciple.uidisciplecontroller.lua;gui.windows.disciple.uidisciplecontroller.lua
2,107,table_B,N,
2,108,table_B,N,
2,109,table_B,N,
2,110,table_B,N,
2,111,table_B,N,
2,112,table_B,N,
2,113,table_B,N,
2,114,table_B,N,
2,115,table_B,N,
2,116,table_B,N,
2,117,table_B,N,
2,118,table_B,N,
2,119,table_B,N,
2,120,table_B,N,
2,121,table_B,N,
2,122,table_B,N,
2,123,table_B,N,
2,124,table_B,N,
2,125,table_B,Y,gui.windows.disciple.uidisciplecontroller_shuwu.lua;gui.windows.disciple.uidisciplecontroller_shuwu.lua
2,126,table_B,Y,gui.windows.disciple.uidisciplecontroller_shuwu.lua;gui.windows.disciple.uidisciplecontroller_shuwu.lua
2,127,table_B,Y,gui.windows.disciple.uidisciplecontroller_shuwu.lua;gui.windows.disciple.uidisciplecontroller_shuwu.lua
2,128,table_B,Y,gui.windows.disciple.uidisciplecontroller_shuwu.lua;gui.windows.disciple.uidisciplecontroller_shuwu.lua
2,131,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,132,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,133,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,134,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,135,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,136,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,137,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,138,table_B,N,
2,139,table_B,N,
2,140,table_B,Y,gui.windows.disciple.uidisciplecontroller_linggen.lua;gui.windows.disciple.uidisciplecontroller_linggen.lua
2,141,table_B,N,
2,142,table_B,N,
2,143,table_B,N,
2,144,table_B,N,
2,145,table_B,N,
2,146,table_B,N,
2,147,table_B,N,
2,148,table_B,N,
2,149,table_B,N,
2,150,table_B,N,
2,151,table_B,N,
2,152,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,153,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,154,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,155,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,156,table_B,Y,gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
2,157,table_B,Y,gui.windows.chuangongge.uichuangonggecontrol.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua;gui.windows.disciple.uidisciplecontroller_xianmo.lua
